id_subject;subject_code;subject_acronym
13985809;2223_INGE_EI_OD_PHYCITE_UE7494_HATUR;HATUR
13985917;2223_INGE_EI_OD_PHYCITE_UE7494_IBIM;IBIM
13995420;2223_INGE_EI_OD_PHYCITE_UE83103_P2PHYCITE;PROJPHYC
13995478;2223_INGE_EI_OD_PHYCITE_UE83103_PARC_HABITAT_CTAIR;CTAIR
13995553;2223_INGE_EI_OD_PHYCITE_UE83103_PARC_HABITAT_MATHA;MATHA
13995604;2223_INGE_EI_OD_PHYCITE_UE83103_PARC_HABITAT_TECBA;TECBA
13995654;2223_INGE_EI_OD_PHYCITE_UE83103_PARC_HABITAT_THBATP;THBATP
13995707;2223_INGE_EI_OD_PHYCITE_UE83103_PARC_INGURB_ATRAN;ATRAN
13995757;2223_INGE_EI_OD_PHYCITE_UE83103_PARC_INGURB_ENEVI;ENEVI
13995809;2223_INGE_EI_OD_PHYCITE_UE83103_PARC_INGURB_GENUI;GENUI
13995859;2223_INGE_EI_OD_PHYCITE_UE83103_PARC_INGURB_HATUA;HATUA
13978883;2223_INGE_EI_OD_PROPULSION_UE7393_COMBUP;COMBUP
13978737;2223_INGE_EI_OD_PROPULSION_UE7393_MOTCI;MOTCI
13978786;2223_INGE_EI_OD_PROPULSION_UE7393_THERMPRO;THERMPRO
13978834;2223_INGE_EI_OD_PROPULSION_UE7393_TURBO;TURBO
13986065;2223_INGE_EI_OD_PROPULSION_UE7494_DYGAZP;DYGAZP
13985994;2223_INGE_EI_OD_PROPULSION_UE7494_ENERGP;ENERGP
13986197;2223_INGE_EI_OD_PROPULSION_UE7494_PRAUT;PRAUT
13986281;2223_INGE_EI_OD_PROPULSION_UE7494_PROAE;PROAE
13995992;2223_INGE_EI_OD_PROPULSION_UE83103_LASPA;LASPA
13996086;2223_INGE_EI_OD_PROPULSION_UE83103_P2PROPULS;PROJPROP
13996140;2223_INGE_EI_OD_PROPULSION_UE83103_PROMA;PROMA
13996189;2223_INGE_EI_OD_PROPULSION_UE83103_TFERO;TFERO
13995944;2223_INGE_EI_OD_PROPULSION_UE83103_TPPRO;TPPRO
13979170;2223_INGE_EI_OD_ROBOTIQUE_UE7393_COBSS;COBSS
13978959;2223_INGE_EI_OD_ROBOTIQUE_UE7393_MOROB;MOROB
13979099;2223_INGE_EI_OD_ROBOTIQUE_UE7393_PROAV;PROAV
13979029;2223_INGE_EI_OD_ROBOTIQUE_UE7393_VIROB;VIROB
13986370;2223_INGE_EI_OD_ROBOTIQUE_UE7494_COROB;COROB
13986445;2223_INGE_EI_OD_ROBOTIQUE_UE7494_MIDWA;MIDWA
13986563;2223_INGE_EI_OD_ROBOTIQUE_UE7494_RASOM;RASOM
13986635;2223_INGE_EI_OD_ROBOTIQUE_UE7494_VETIN;VETIN
13996269;2223_INGE_EI_OD_ROBOTIQUE_UE83103_COMRO;COMRO
13996531;2223_INGE_EI_OD_ROBOTIQUE_UE83103_INTEG;INTEG
13996340;2223_INGE_EI_OD_ROBOTIQUE_UE83103_P2ROBOTIQUE;PROJROBO
13996460;2223_INGE_EI_OD_ROBOTIQUE_UE83103_PLANI;PLANI
13996388;2223_INGE_EI_OD_ROBOTIQUE_UE83103_ROPAH;ROPAH
13979467;2223_INGE_EI_OD_RV_UE7393_CPLUS;CPLUS
13979343;2223_INGE_EI_OD_RV_UE7393_FONRV;FONRV
13979395;2223_INGE_EI_OD_RV_UE7393_IMAGRV;IMAGRV
13979268;2223_INGE_EI_OD_RV_UE7393_MODRV;MODRV
13986737;2223_INGE_EI_OD_RV_UE7494_INTER;INTER
13986858;2223_INGE_EI_OD_RV_UE7494_MEDEV;MEDEV
13986785;2223_INGE_EI_OD_RV_UE7494_VISUS;VISUS
13986958;2223_INGE_EI_OD_RV_UE7494_VSION;VSION
13996711;2223_INGE_EI_OD_RV_UE83103_COARV;COARV
13996663;2223_INGE_EI_OD_RV_UE83103_COLLI;COLLI
13996759;2223_INGE_EI_OD_RV_UE83103_CONFS;CONFS
13996810;2223_INGE_EI_OD_RV_UE83103_P2RV;PROJRV
