subject_code;subject_name;subject_acronym
2223_INGE_EI_OD_MATHAPPLI_UE7494_PARC_S2D_SDR;Science des données avec R;SDR
2223_INGE_EI_OD_MATHAPPLI_UE7494_PARC_S2D_STAT2;Statistique 2;STAT2
2223_INGE_EI_OD_MATHAPPLI_UE7494_PRSTO;Processus stochastiques;PRSTO
2223_INGE_EI_OD_OCEAN_UE7393_ENVMA;Environnement marin et chargement;ENVMA
2223_INGE_EI_OD_OCEAN_UE7393_HNUM1;Hydro num 1;HNUM1
2223_INGE_EI_OD_OCEAN_UE7393_INTHY;Intro;INTHY
2223_INGE_EI_OD_OCEAN_UE7393_TEMER;Tenue à la mer et stabilité;TEMER
2223_INGE_EI_OD_OCEAN_UE7494_HNUM2;Hydro num 2;HNUM2
2223_INGE_EI_OD_OCEAN_UE7494_HYDEX;Hydrodynamique expérimentale;HYDEX
2223_INGE_EI_OD_OCEAN_UE7494_MANCR;Manoeuvrabilité et ancrages;MANCR
2223_INGE_EI_OD_OCEAN_UE7494_PRPOR;Profils portants;PRPOR
2223_INGE_EI_OD_PHYCITE_UE7393_CONSTR;Construction et structure;CONSTR
2223_INGE_EI_OD_PHYCITE_UE7393_EVT;Ecologie, Ville et Territoires;EVT
2223_INGE_EI_OD_PHYCITE_UE7393_PRURB;Problématiques Urbaines;PRURB
2223_INGE_EI_OD_PHYCITE_UE7393_SINBADP;Systèmes d'information et bases de données;SINBAD
2223_INGE_EI_OD_PHYCITE_UE7494_ACECE;Acoustique, éclairement et ensoleillement;ACECE
2223_INGE_EI_OD_PHYCITE_UE7494_ENERGUR;Energétique pour le génie urbain;ENERGUR
2223_INGE_EI_OD_PHYCITE_UE7494_HATUR;Hydrologie et Atmosphère Urbaine;HATUR
2223_INGE_EI_OD_PHYCITE_UE7494_IBIM;Initiation au BIM;IBIM
2223_INGE_EI_OD_PROPULSION_UE7393_COMBUP;Combustion et émissions polluantes en propulsion;COMBUP
2223_INGE_EI_OD_PROPULSION_UE7393_MOTCI;Moteur à combustion interne;MOTCI
2223_INGE_EI_OD_PROPULSION_UE7393_THERMPRO;Thermodynamique pour la propulsion;THERMPRO
2223_INGE_EI_OD_PROPULSION_UE7393_TURBO;Turbomachines pour la propulsion;TURBO
2223_INGE_EI_OD_PROPULSION_UE7494_DYGAZP;Dynamique des gaz;DYGAZP
2223_INGE_EI_OD_PROPULSION_UE7494_ENERGP;Energie en Propulsion;ENERGP
2223_INGE_EI_OD_PROPULSION_UE7494_PRAUT;Propulsion automobile - électrique et hybride;PRAUT
2223_INGE_EI_OD_PROPULSION_UE7494_PROAE;Systèmes propulsifs en aéronautique;PROAE
2223_INGE_EI_OD_ROBOTIQUE_UE7393_COBSS;Commande et observation des systèmes;COBSS
2223_INGE_EI_OD_ROBOTIQUE_UE7393_MOROB;Modélisation des robots manipulateurs;MOROB
2223_INGE_EI_OD_ROBOTIQUE_UE7393_PROAV;Programmation avancée;PROAV
2223_INGE_EI_OD_ROBOTIQUE_UE7393_VIROB;Vision pour la robotique;VIROB
2223_INGE_EI_OD_ROBOTIQUE_UE7494_COROB;Conception des robots;COROB
2223_INGE_EI_OD_ROBOTIQUE_UE7494_MIDWA;Middleware;MIDWA
2223_INGE_EI_OD_ROBOTIQUE_UE7494_RASOM;Robots aériens et sous-marins;RASOM
2223_INGE_EI_OD_ROBOTIQUE_UE7494_VETIN;Véhicules et transports intelligents;VETIN
2223_INGE_EI_OD_RV_UE7393_CPLUS;Programmation C++;CPLUS
2223_INGE_EI_OD_RV_UE7393_FONRV;Fondements de la Réalité Virtuelle;FONRV
